,feature.node.kubernetes.io/cpu-hardware_multithreading,feature.node.kubernetes.io/cpu-model.family,feature.node.kubernetes.io/cpu-model.id,feature.node.kubernetes.io/cpu-model.vendor_id,feature.node.kubernetes.io/kernel-version.full,feature.node.kubernetes.io/kernel-version.major,feature.node.kubernetes.io/kernel-version.minor,feature.node.kubernetes.io/kernel-version.revision,feature.node.kubernetes.io/system-os_release.ID,feature.node.kubernetes.io/system-os_release.VERSION_ID,feature.node.kubernetes.io/system-os_release.VERSION_ID.major,optimization,cores,threads,micro_arch,futex_waiting_ns,cpu_running_ns,cpu_waiting_ns,y_actual
c7a.12xlarge.znver3-O1.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver3,48.0,1.0,O1,9020.0,402765.0,22040.0,0.0779425
c7a.12xlarge.haswell-O2.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,O2,8930.0,733652.4896730409,431348.42231006414,0.164761
c7a.12xlarge.haswell-O2.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,O2,8930.0,733652.4896730409,431348.42231006414,0.107662
c7a.12xlarge.haswell-O2.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,O2,8930.0,733652.4896730409,431348.42231006414,0.078803
c7a.12xlarge.x86-64-v4-Ofast.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v4,48.0,1.0,Ofast,10080.0,1331880.1666717762,683933.0306882538,0.10553
c7a.12xlarge.x86-64-v4-Ofast.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v4,48.0,1.0,Ofast,10080.0,1331880.1666717762,683933.0306882538,0.0786354
c7a.12xlarge.x86-64-v4-Ofast.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v4,48.0,1.0,Ofast,10080.0,1331880.1666717762,683933.0306882538,0.0827679
c7a.12xlarge.haswell-Os.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,Os,9621.0,1203737.757173237,916196.5138660436,0.0984428
c7a.12xlarge.haswell-Os.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,Os,9621.0,1203737.757173237,916196.5138660436,0.0815366
c7a.12xlarge.haswell-Os.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,haswell,48.0,1.0,Os,9621.0,1203737.757173237,916196.5138660436,0.0963621
c7a.12xlarge.x86-64-v3-O3.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v3,48.0,1.0,O3,9580.0,637059.2627331521,311877.9312797305,0.107017
c7a.12xlarge.x86-64-v3-O3.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v3,48.0,1.0,O3,9580.0,637059.2627331521,311877.9312797305,0.126061
c7a.12xlarge.x86-64-v3-O3.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v3,48.0,1.0,O3,9580.0,637059.2627331521,311877.9312797305,0.0789955
c7a.12xlarge.znver1-Os.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver1,48.0,1.0,Os,9660.0,793370.4677981274,857766.8498970816,0.0899445
c7a.12xlarge.znver1-Os.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver1,48.0,1.0,Os,9660.0,793370.4677981274,857766.8498970816,0.0812131
c7a.12xlarge.znver1-Os.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver1,48.0,1.0,Os,9660.0,793370.4677981274,857766.8498970816,0.0845174
c7a.12xlarge.sandybridge-O1.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,sandybridge,48.0,1.0,O1,9490.0,1176678.3175902579,493782.9428887575,0.0877978
c7a.12xlarge.sandybridge-O1.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,sandybridge,48.0,1.0,O1,9490.0,1176678.3175902579,493782.9428887575,0.079632
c7a.12xlarge.sandybridge-O1.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,sandybridge,48.0,1.0,O1,9490.0,1176678.3175902579,493782.9428887575,0.0787071
c7a.12xlarge.x86-64-v2-O0.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v2,48.0,1.0,O0,8520.0,319073.0,4860.0,0.264537
c7a.12xlarge.x86-64-v2-O0.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v2,48.0,1.0,O0,8520.0,319073.0,4860.0,0.305663
c7a.12xlarge.x86-64-v2-O0.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,x86-64-v2,48.0,1.0,O0,8520.0,319073.0,4860.0,0.262416
c7a.12xlarge.skylake-Og.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,skylake,48.0,1.0,Og,9020.0,663874.6556037767,405019.4215118094,0.0904226
c7a.12xlarge.skylake-Og.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,skylake,48.0,1.0,Og,9020.0,663874.6556037767,405019.4215118094,0.165697
c7a.12xlarge.skylake-Og.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,skylake,48.0,1.0,Og,9020.0,663874.6556037767,405019.4215118094,0.0796333
c7a.12xlarge.ivybridge-O3.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,ivybridge,48.0,1.0,O3,9810.0,209385.72259930757,95269.91985544222,0.162073
c7a.12xlarge.ivybridge-O3.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,ivybridge,48.0,1.0,O3,9810.0,209385.72259930757,95269.91985544222,0.0823788
c7a.12xlarge.ivybridge-O3.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,ivybridge,48.0,1.0,O3,9810.0,209385.72259930757,95269.91985544222,0.0799446
c7a.12xlarge.broadwell-Ofast.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,broadwell,48.0,1.0,Ofast,9210.0,556153.2571707838,375366.34523432783,0.172633
c7a.12xlarge.broadwell-Ofast.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,broadwell,48.0,1.0,Ofast,9210.0,556153.2571707838,375366.34523432783,0.120636
c7a.12xlarge.broadwell-Ofast.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,broadwell,48.0,1.0,Ofast,9210.0,556153.2571707838,375366.34523432783,0.0792744
c7a.12xlarge.native-O2.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,native,48.0,1.0,O2,8810.0,322398.6296121604,124937.4056520425,0.0836073
c7a.12xlarge.native-O2.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,native,48.0,1.0,O2,8810.0,322398.6296121604,124937.4056520425,0.0797093
c7a.12xlarge.native-O2.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,native,48.0,1.0,O2,8810.0,322398.6296121604,124937.4056520425,0.0990188
c7a.12xlarge.znver4-O2.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver4,48.0,1.0,O2,9010.0,1542561.3864392492,804696.2898971481,0.0831434
c7a.12xlarge.znver4-O2.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver4,48.0,1.0,O2,9010.0,1542561.3864392492,804696.2898971481,0.0793825
c7a.12xlarge.znver4-O2.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver4,48.0,1.0,O2,9010.0,1542561.3864392492,804696.2898971481,0.0788511
c7a.12xlarge.znver3-Os.0.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver3,48.0,1.0,Os,9610.0,434614.7875661376,166979.2380952381,0.137558
c7a.12xlarge.znver3-Os.1.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver3,48.0,1.0,Os,9610.0,434614.7875661376,166979.2380952381,0.0856942
c7a.12xlarge.znver3-Os.2.0,false,25,17,AMD,6.1.134-152.225.amzn2023.x86_64,6,1,134,amzn,2023,2023,znver3,48.0,1.0,Os,9610.0,434614.7875661376,166979.2380952381,0.0804179
